countrycode,idgrade,test,nla_code,subject,nonprof_all,min_proficiency_threshold,year,source_assessment
AFG,3,EGRA,N.A.,read,80.920105,51.4,2016,HAD (Harmonized Assessment Database)
AFG,4,EGRA,N.A.,read,62.166962,51.4,2016,HAD (Harmonized Assessment Database)
AFG,5,EGRA,N.A.,read,54.557289,51.4,2016,HAD (Harmonized Assessment Database)
AGO,3,EGRA,N.A.,read,90.715149,51.4,2011,HAD (Harmonized Assessment Database)
BDI,5,PASEC,N.A.,read,70.881233,"Grade 5/6, Level **4 and above**",2008,HAD (Harmonized Assessment Database)
BEN,5,PASEC,N.A.,read,85.261574,"Grade 5/6, Level **4 and above**",2005,HAD (Harmonized Assessment Database)
BFA,5,PASEC,N.A.,read,61.149723,"Grade 5/6, Level **4 and above**",1996,HAD (Harmonized Assessment Database)
BFA,5,PASEC,N.A.,read,77.427979,"Grade 5/6, Level **4 and above**",2007,HAD (Harmonized Assessment Database)
BGD,3,EGRA,N.A.,read,95.368561,51.4,2014,HAD (Harmonized Assessment Database)
BGD,3,EGRA,N.A.,read,80.889236,51.4,2015,HAD (Harmonized Assessment Database)
BGD,3,EGRA,N.A.,read,72.298943,51.4,2016,HAD (Harmonized Assessment Database)
BWA,6,SACMEQ,N.A.,read,15.100002,Drop,2013,HAD (Harmonized Assessment Database)
CIV,5,PASEC,N.A.,read,44.616127,"Grade 5/6, Level **4 and above**",1996,HAD (Harmonized Assessment Database)
CIV,5,PASEC,N.A.,read,75.537323,"Grade 5/6, Level **4 and above**",2008,HAD (Harmonized Assessment Database)
CMR,5,PASEC,N.A.,read,35.217392,"Grade 5/6, Level **4 and above**",1996,HAD (Harmonized Assessment Database)
CMR,5,PASEC,N.A.,read,44.678188,"Grade 5/6, Level **4 and above**",2005,HAD (Harmonized Assessment Database)
COD,4,EGRA,N.A.,read,96.89373,51.4,2010,HAD (Harmonized Assessment Database)
COD,4,EGRA,N.A.,read,96.464188,51.4,2012,HAD (Harmonized Assessment Database)
COD,5,PASEC,N.A.,read,62.018829,"Grade 5/6, Level **4 and above**",2010,HAD (Harmonized Assessment Database)
COD,6,EGRA,N.A.,read,92.217247,51.4,2010,HAD (Harmonized Assessment Database)
COG,5,PASEC,N.A.,read,73.013962,"Grade 5/6, Level **4 and above**",2007,HAD (Harmonized Assessment Database)
COM,5,PASEC,N.A.,read,82.346947,"Grade 5/6, Level **4 and above**",2008,HAD (Harmonized Assessment Database)
EGY,3,EGRA,N.A.,read,78.740555,51.4,2013,HAD (Harmonized Assessment Database)
ETH,3,EGRA,N.A.,read,68.480499,51.4,2010,HAD (Harmonized Assessment Database)
GAB,5,PASEC,N.A.,read,30.754948,"Grade 5/6, Level **4 and above**",2006,HAD (Harmonized Assessment Database)
GMB,3,EGRA,N.A.,read,62.098427,51.4,2007,HAD (Harmonized Assessment Database)
